MHCKEY	PCC	AUC	Size	Binders
HLA-B-15:03-9	0.907	0.959	583	366
HLA-B-15:09-9	0.651	0.984	814	45
HLA-B-15:17-9	0.770	0.971	1431	365
HLA-B-15:42-9	0.343	0.986	362	3
HLA-B-18:01-10	0.804	0.954	354	51
HLA-B-18:01-11	0.960	0.982	71	16
HLA-B-18:01-8	0.966	0.996	62	11
HLA-B-18:01-9	0.679	0.938	2315	230
HLA-B-27:05-10	0.912	0.979	317	98
HLA-B-27:05-11	0.936	0.972	238	65
HLA-B-27:05-8	0.879	0.974	281	54
HLA-B-27:05-9	0.791	0.971	2811	443
HLA-B-27:20-9	0.954	0.983	92	90
HLA-B-35:01-10	0.842	0.928	523	136
HLA-B-35:01-11	0.952	0.988	63	9
HLA-B-35:01-8	0.940	1.000	76	6
HLA-B-35:01-9	0.796	0.948	2514	821
HLA-B-35:03-10	0.948	0.990	69	3
HLA-B-35:03-9	0.874	0.995	151	15
HLA-B-38:01-9	0.896	0.998	491	147
HLA-B-39:01-9	0.744	0.981	1761	302
HLA-B-40:01-10	0.828	0.920	495	149
HLA-B-40:01-8	0.850	0.994	59	3
HLA-B-40:01-9	0.799	0.984	2824	478
HLA-B-40:02-10	0.884	0.943	361	136
HLA-B-40:02-11	0.917	0.993	53	3
HLA-B-40:02-8	0.923	0.996	61	10
HLA-B-40:02-9	0.862	0.958	572	185
HLA-B-40:13-9	0.922	0.981	59	53
HLA-B-42:01-10	0.991	0.998	56	11
HLA-B-42:01-9	0.971	0.998	131	47
HLA-B-44:02-10	0.868	0.956	503	185
HLA-B-44:02-8	0.873	1.000	62	5
HLA-B-44:02-9	0.720	0.980	1682	236
HLA-B-44:03-10	0.857	0.934	516	192
HLA-B-44:03-11	0.956	1.000	64	8
HLA-B-44:03-8	0.938	0.996	62	5
HLA-B-44:03-9	0.871	0.969	733	207
HLA-B-45:01-10	0.858	0.930	363	72
HLA-B-45:01-11	0.919	0.970	50	6
HLA-B-45:01-8	0.982	1.000	63	4
HLA-B-45:01-9	0.862	0.978	574	108
HLA-B-46:01-9	0.557	0.992	1793	94
HLA-B-48:01-9	0.661	0.993	883	73
HLA-B-51:01-10	0.712	0.947	499	54
HLA-B-51:01-11	0.900	1.000	57	3
HLA-B-51:01-8	0.858	0.995	72	6
HLA-B-51:01-9	0.664	0.955	2239	233
HLA-B-53:01-10	0.830	0.928	507	158
HLA-B-53:01-11	0.944	1.000	56	2
HLA-B-53:01-8	0.812	0.929	72	2
HLA-B-53:01-9	0.784	0.954	1052	332
HLA-B-54:01-10	0.884	0.967	344	67
HLA-B-54:01-8	0.925	0.992	66	1
HLA-B-54:01-9	0.840	0.957	721	145
HLA-B-57:01-10	0.879	0.915	250	61
HLA-B-57:01-11	0.968	0.975	51	18
HLA-B-57:01-9	0.782	0.979	2529	384
HLA-B-58:01-10	0.895	0.930	241	72
HLA-B-58:01-11	0.988	1.000	50	12
HLA-B-58:01-9	0.803	0.978	2984	654
HLA-B-58:02-9	0.907	0.990	54	9
HLA-B-73:01-9	0.872	0.993	122	17
HLA-B-83:01-9	0.824	0.980	337	40
HLA-C-03:03-9	0.903	0.971	154	116
HLA-C-04:01-9	0.328	0.986	520	21
HLA-C-05:01-9	0.910	0.996	172	68
HLA-C-06:02-9	0.903	0.979	301	96
HLA-C-07:01-9	0.905	0.967	220	87
HLA-C-07:02-9	0.922	0.961	140	82
HLA-C-08:02-9	0.845	0.915	87	32
HLA-C-12:03-9	0.670	0.719	172	155
HLA-C-14:02-9	0.796	0.881	235	185
HLA-C-15:02-9	0.873	0.957	253	116
HLA-E-01:01-9	0.900	0.993	96	14
HLA-E-01:03-9	0.857	0.984	67	5
Mamu-A-01-10	0.808	0.921	682	274
Mamu-A-01-11	0.832	0.926	466	166
Mamu-A-01-8	0.879	0.961	532	171
Mamu-A-01-9	0.850	0.941	909	492
Mamu-A-02-10	0.834	0.933	334	154
Mamu-A-02-11	0.809	0.921	306	94
Mamu-A-02-8	0.839	0.947	229	69
Mamu-A-02-9	0.886	0.948	488	265
Mamu-A-07-10	0.892	0.976	109	13
Mamu-A-07-11	0.929	1.000	96	11
Mamu-A-07-8	0.924	0.994	113	17
Mamu-A-07-9	0.920	0.992	361	173
Mamu-A-11-10	0.877	0.945	288	117
Mamu-A-11-11	0.838	0.931	222	46
Mamu-A-11-8	0.917	0.975	224	46
Mamu-A-11-9	0.817	0.930	525	191
Mamu-A-2201-10	0.842	0.970	217	23
Mamu-A-2201-9	0.915	0.969	457	191
Mamu-A-2601-9	0.883	0.974	180	49
Mamu-A2-0102-9	0.896	0.955	138	26
Mamu-A7-0103-9	0.907	0.984	102	22
Mamu-B-01-10	0.739	1.000	216	1
Mamu-B-01-11	0.692	0.982	223	2
Mamu-B-01-8	0.787	0.984	166	7
Mamu-B-01-9	0.934	0.987	274	74
Mamu-B-03-10	0.932	0.990	258	77
Mamu-B-03-11	0.937	0.977	221	53
Mamu-B-03-8	0.904	0.974	241	58
Mamu-B-03-9	0.897	0.976	406	118
Mamu-B-08-10	0.915	0.978	256	81
Mamu-B-08-11	0.937	0.996	220	48
Mamu-B-08-8	0.920	0.983	240	49
Mamu-B-08-9	0.905	0.971	402	126
Mamu-B-1001-9	0.888	0.959	140	42
Mamu-B-17-10	0.801	0.913	558	140
Mamu-B-17-11	0.904	0.994	200	13
Mamu-B-17-8	0.792	0.996	167	6
Mamu-B-17-9	0.882	0.949	722	280
Mamu-B-3901-8	0.927	0.971	66	12
Mamu-B-3901-9	0.857	0.945	354	201
Mamu-B-52-10	0.890	0.930	115	52
Mamu-B-52-11	0.854	0.930	105	55
Mamu-B-52-8	0.920	0.964	269	178
Mamu-B-52-9	0.903	0.967	401	262
Mamu-B-6601-9	0.846	0.933	100	72
Mamu-B-8301-10	0.880	0.920	217	129
Mamu-B-8301-9	0.924	0.965	206	90
Mamu-B-8701-9	0.980	0.983	119	42
Patr-A-0101-10	0.860	0.944	184	54
Patr-A-0101-9	0.860	0.947	239	54
Patr-A-0301-10	0.824	0.980	158	30
Patr-A-0301-9	0.869	0.964	204	27
Patr-A-0401-10	0.901	0.962	140	34
Patr-A-0401-9	0.864	0.938	178	40
Patr-A-0701-10	0.876	0.948	262	64
Patr-A-0701-9	0.808	0.946	319	67
Patr-A-0901-10	0.848	0.917	195	76
Patr-A-0901-11	0.943	0.966	240	127
Patr-A-0901-9	0.889	0.919	208	77
Patr-B-0101-10	0.867	0.951	226	56
Patr-B-0101-11	0.977	1.000	66	21
Patr-B-0101-9	0.871	0.962	484	112
Patr-B-1301-10	0.988	0.992	71	51
Patr-B-1301-9	0.952	0.980	129	75
Patr-B-2401-10	0.899	0.968	130	22
Patr-B-2401-9	0.924	0.990	193	62
RT1A-15	0.898	0.978	139	19
SLA-1-0401-9	0.769	0.915	185	124
SLA-2-0401-9	0.903	0.969	105	34
SLA-3-0401-9	0.881	0.983	76	29
